file_path,transcript
/content/drive/MyDrive/wav_16k/dialog_00300497.wav,음/ 어제 제가 추천한 음악 들으셨나요?
/content/drive/MyDrive/wav_16k/dialog_00300505.wav,음/ 야 너 생일이라며 생일 축하해.
/content/drive/MyDrive/wav_16k/dialog_00300507.wav,저기/ 식사 준비는 너 혼자 해봐라.
/content/drive/MyDrive/wav_16k/dialog_00300504.wav,저기/ 온난화는 전 지구의 과제에요.
/content/drive/MyDrive/wav_16k/dialog_00300506.wav,저기/ 이번 학기는 성적이 좋아서 기분이 좋아요.
/content/drive/MyDrive/wav_16k/dialog_00300511.wav,그/ 밖에서 마스크 좀 내리지 마라. 코로나 안 끝났다.
/content/drive/MyDrive/wav_16k/dialog_00300510.wav,저기/ 질병에 대해서 아는 게 거의 없어요.
/content/drive/MyDrive/wav_16k/dialog_00300508.wav,그/ 드라마 청춘 기록이 오늘 첫 방송됩니다.
/content/drive/MyDrive/wav_16k/dialog_00300503.wav,아/ 어머니가 음식 솜씨가 너무 좋으시네요.
/content/drive/MyDrive/wav_16k/dialog_00300509.wav,음+ 음악도 알고 들으면 더 신나게 들을 수 있어.
/content/drive/MyDrive/wav_16k/dialog_00300517.wav,음/ 가족에게는 비밀로 부탁드립니다.
/content/drive/MyDrive/wav_16k/dialog_00300518.wav,저기/ 지나가면서 버려진 개를 봤다.
/content/drive/MyDrive/wav_16k/dialog_00300513.wav,그/ 이래서 언제 대출 다 갚고 내 돈 모으냐.
/content/drive/MyDrive/wav_16k/dialog_00300515.wav,저기/ 피곤해서 고향은 다음에 가기로 했다.
/content/drive/MyDrive/wav_16k/dialog_00300516.wav,저기/ 오늘은 그냥 밖에서 먹을래?
/content/drive/MyDrive/wav_16k/dialog_00300519.wav,아/ 세계도시에 관련해서 많은 생각을 모으고 있어.
/content/drive/MyDrive/wav_16k/dialog_00300514.wav,아/ 대출에 관련해서 많은 생각을 모으고 있어.
/content/drive/MyDrive/wav_16k/dialog_00300512.wav,음/ 제주도 갈 돈이면 해외여행 가고 싶다.
/content/drive/MyDrive/wav_16k/dialog_00300522.wav,음/ 매일 먹는 영양제들 부작용들은 알고 먹고 있는 거야?
/content/drive/MyDrive/wav_16k/dialog_00300521.wav,그/ 보험 가입하려면 제출해야 하는 서류가 뭐가 있지?
/content/drive/MyDrive/wav_16k/dialog_00300520.wav,음/ 운동이 너무 싫어서 그냥 걷기만 많이 해요.
/content/drive/MyDrive/wav_16k/dialog_00300523.wav,음/ 친구와 식 시에 대해 이야기했습니다.
/content/drive/MyDrive/wav_16k/dialog_00300525.wav,음/ 선생님께 존댓말을 써야 해요.
/content/drive/MyDrive/wav_16k/dialog_00300526.wav,그/ 해외여행 안 가봤다고 놀라더라니까?
/content/drive/MyDrive/wav_16k/dialog_00300529.wav,저기/ 건강검진받으러 병원에 갔어요.
/content/drive/MyDrive/wav_16k/dialog_00300528.wav,그/ 운동을 너무 많이 해도 허리에 무리가 온대요.
/content/drive/MyDrive/wav_16k/dialog_00300527.wav,아/ 적금을 깰까 말까 고민 (중이에요)/(중이예요).
/content/drive/MyDrive/wav_16k/dialog_00300524.wav,저기/ 휴가에 대해서 아는 게 거의 없어.
/content/drive/MyDrive/wav_16k/dialog_00300531.wav,아/ 직업에 대해서 많이 알고 싶어요.
/content/drive/MyDrive/wav_16k/dialog_00300530.wav,음+ 음식 잘하시나요? 전 잘 못해요.
/content/drive/MyDrive/wav_16k/dialog_00300533.wav,음/ 걔는 휴가 나왔다면서 얼굴도 안 보이네.
/content/drive/MyDrive/wav_16k/dialog_00300535.wav,저기/ 자주 받는 스트레스도 마음에 질병이다.
/content/drive/MyDrive/wav_16k/dialog_00300532.wav,음/ 제발 신발장 정리 좀 해. 너무 더러워.
/content/drive/MyDrive/wav_16k/dialog_00300536.wav,그/ 폭염이 끝나니깐 이제 선선해지네요.
/content/drive/MyDrive/wav_16k/dialog_00300537.wav,저기/ 세계도시에 대해서 조금이나마 알아보려고 해.
/content/drive/MyDrive/wav_16k/dialog_00300534.wav,그/ 나도 내 이름으로 된 부동산이 있으면 좋겠네.
/content/drive/MyDrive/wav_16k/dialog_00300544.wav,아+ 아이들이 코로나 땜에 학교를 못 가요.
/content/drive/MyDrive/wav_16k/dialog_00300540.wav,음/ 나 매운 라면 못 먹어. 나도. 딴 거 먹으러 갈까?
