                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2393,                 4.3835,                 4.1212,                0.00139,                0.17824,                0.00486,                0.00103,                      0,                    inf,                      0,               0.070227,              0.0033081,              0.0033081
                      1,                 3.0083,                  3.938,                 3.7259,                 0.7196,                0.03913,                 0.0189,                 0.0072,                      0,                    inf,                      0,               0.040162,              0.0065757,              0.0065757
                      2,                 2.5764,                 3.6147,                 3.1747,                0.64441,                0.04638,                 0.0336,                0.01792,                      0,                    inf,                      0,                0.01003,              0.0097772,              0.0097772
                      3,                 2.2533,                 3.3128,                 2.7826,                0.30353,                0.14196,                0.07463,                0.03641,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.9146,                 2.9451,                 2.4482,                0.29559,                0.12388,                0.07754,                0.03784,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.7132,                 2.6847,                 2.2499,                0.49565,                0.16072,                0.15779,                0.06248,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.6284,                 2.5615,                 2.1551,                0.44404,                0.19029,                0.12554,                 0.0567,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.5717,                 2.4427,                 2.0978,                0.45163,                0.17318,                0.13992,                0.07201,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.5726,                 2.3832,                 2.0748,                0.53073,                0.19848,                0.12834,                0.06031,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.5019,                 2.2937,                 2.0096,                0.46913,                0.19704,                0.15581,                 0.0823,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.4697,                 2.2504,                 1.9846,                0.47188,                0.23303,                 0.1683,                 0.0828,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                  1.469,                  2.221,                 1.9714,                0.51618,                0.20997,                0.17321,                0.08518,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                  1.428,                 2.1406,                 1.9301,                0.47827,                0.19371,                0.15691,                 0.0823,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.4161,                 2.0795,                  1.896,                0.53781,                0.20079,                0.18569,                0.09999,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.4044,                 2.0915,                 1.9075,                 0.4907,                0.21677,                0.19267,                0.09954,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
